alpha,RMSE,MAE,R2,seconds
0.1,0.03334026853152074,0.01749913799137304,0.9947260593256755,0.16613859997596592
1.0,0.033321122778544036,0.017484565179540373,0.9947321147402008,0.1298024000134319
10.0,0.0332385140720425,0.017420261171927947,0.9947582023217139,0.1336868000216782
100.0,0.03342826273009194,0.017632625157902662,0.9946981838095997,0.11669190000975505
