feature,importance
price_lag_1,0.9662088452046889
price_lag_12,0.016758115981386337
price_roll_3,0.012324070804191845
price_roll_12,0.0021154602537393737
price_lag_3,0.000583822490025113
Number_stores,0.0005077840263984736
Month,0.0004630824985331044
EFPG_name,0.0003822501872220631
Metroregion_name,0.00020562094253753625
month_cos,0.00020221549681360588
Year,0.000132801343256369
month_sin,0.00011593077120731238
